,elapsed_time,level,message,nprobe,recall_top1,recall_top10,recall_top5,target,timestamp,total,avg_time_per_query,avg_recall,queries_per_second,type,build_time
0,40,INFO,metrics,1,0.40639999508857727,0.37260180711746216,0.3827366232872009,cli_dynamic_learned_index,1754063780307,10000,0.004,37.260180711746216,15000.0,rust,425.127416566
1,26,INFO,metrics,2,0.49480000138282776,0.4628423750400543,0.4708622097969055,cli_dynamic_learned_index,1754063807253,10000,0.0026,46.28423750400543,23076.923076923078,rust,425.127416566
2,33,INFO,metrics,3,0.536300003528595,0.506481945514679,0.5152431726455688,cli_dynamic_learned_index,1754063840283,10000,0.0033,50.648194551467896,18181.81818181818,rust,425.127416566
3,39,INFO,metrics,4,0.5658000111579895,0.5394320487976074,0.5475814342498779,cli_dynamic_learned_index,1754063879969,10000,0.0039,53.94320487976074,15384.615384615385,rust,425.127416566
4,48,INFO,metrics,5,0.5913000106811523,0.5669427514076233,0.5742406845092773,cli_dynamic_learned_index,1754063928627,10000,0.0048,56.69427514076233,12500.000000000002,rust,425.127416566
5,82,INFO,metrics,10,0.6861000061035156,0.6648873686790466,0.6705933809280396,cli_dynamic_learned_index,1754064011348,10000,0.0082,66.48873686790466,7317.073170731706,rust,425.127416566
