search_strategy,n_candidates,avg_recall,avg_bucket_selection_time,avg_search_time,avg_time_per_query,queries_per_second,build_time,avg_visited_buckets,avg_visited_objects,scenario
ModelDrivenNormalizedSearchStrategy,1000,65.632998046875,0.48160288333892826,5.76657567024231,64538.5824653864,173.41314103626084,496.21194434165955,8.5954,1113.572265625,Single insert
ModelDrivenNormalizedSearchStrategy,2500,79.3710009765625,0.37236413955688474,10.72122724056244,131989.85295495988,93.27290407730783,496.21194434165955,18.6618,2678.0283203125,Single insert
ModelDrivenNormalizedSearchStrategy,5000,86.962998046875,0.3383593320846558,22.09768793582916,284431.2625841856,45.25360313277849,496.21194434165955,34.1841,5190.142578125,Single insert
ModelDrivenNormalizedSearchStrategy,7500,90.365,0.3777585029602051,28.629861807823183,366733.1612906456,34.928565380876115,496.21194434165955,50.4657,7690.2470703125,Single insert
ModelDrivenNormalizedSearchStrategy,10000,92.35099609375,0.33209590911865233,39.719890880584714,511680.5684354782,25.176302800187326,496.21194434165955,67.5415,10186.8515625,Single insert
